,Company,Date,Sentiment,Total Mentions
717,GME,2019-08-28,0,0
718,TSLA,2019-08-28,0.8617000000000001,10
719,S&P500,2019-08-28,0,0
720,GME,2019-08-29,0,0
721,TSLA,2019-08-29,0.6614000000000001,5
722,S&P500,2019-08-29,0,0
723,GME,2019-08-30,0,0
724,TSLA,2019-08-30,-0.17800000000000005,11
725,S&P500,2019-08-30,0,0
726,GME,2019-08-31,0,0
727,TSLA,2019-08-31,0,0
728,S&P500,2019-08-31,0,0
729,GME,2019-09-01,0,0
730,TSLA,2019-09-01,0,0
731,S&P500,2019-09-01,0,0
732,GME,2019-09-02,0,0
733,TSLA,2019-09-02,0,0
734,S&P500,2019-09-02,0,0
735,GME,2019-09-03,0,0
736,TSLA,2019-09-03,0.34,1
737,S&P500,2019-09-03,0,0
738,GME,2019-09-04,0,0
739,TSLA,2019-09-04,3.4059999999999997,17
740,S&P500,2019-09-04,0,0
741,GME,2019-09-05,0,0
742,TSLA,2019-09-05,0.0,1
